t,Symbol(beta),Symbol(betaD),Symbol(theta),Symbol(thetaD),Symbol(theta_m),Symbol(beta_c),
4.54,-0.029889426481945737,0.6164692663512704,-0.08016125593159476,-0.6165218924091475,0.019037131509089297,-0.019037131509089297,
4.55,-0.023724733818433034,0.6205705663006597,-0.08632647485568623,-0.6195103900347122,0.012810260395756917,-0.012810260395756917,
4.5600000000000005,-0.017519028155426438,0.6240578310951923,-0.09252157875603335,-0.621882640859907,0.006553205456406322,-0.006553205456406322,
4.57,-0.011278449844474514,0.6269257130058643,-0.09874040516463242,-0.6236344540622226,0.00027219078372126004,-0.00027219078372126004,
4.58,-0.005009192714415871,0.6291694943275045,-0.10497674970525465,-0.6247622751358636,-0.006026517202307194,0.006026517202307194,
4.59,0.0012825022288591734,0.6307850953509756,-0.11122437245661329,-0.6252631923124624,-0.012336616181179413,0.012336616181179413,
4.6000000000000005,0.007590353182368929,0.6317690815063783,-0.11747700437973792,-0.6251349421247344,-0.018651774423535286,0.018651774423535286,
4.61,0.013908043997432713,0.6321186696538814,-0.12372835380098526,-0.6243759140949185,-0.02496563733899511,0.02496563733899511,
4.62,0.020229230693971527,0.6318317335015275,-0.12997211294193445,-0.6229851545328123,-0.03127183407135378,0.03127183407135378,
4.63,0.026547548028986803,0.6309068081322813,-0.13620196448726257,-0.6209623694312869,-0.037563984132135186,0.037563984132135186,
4.64,0.032856616110309614,0.6293430936256226,-0.14241158818157545,-0.618307926450344,-0.04383570406339121,0.04383570406339121,
4.65,0.03915004704656584,0.6271404577621474,-0.1485946674460789,-0.6150228559840237,-0.050080614120539685,0.050080614120539685,
4.66,0.045421451624187315,0.624299437802868,-0.15474489600591915,-0.6111088513077623,-0.05629234496597835,0.05629234496597835,
4.67,0.051664446002215994,0.6208212413382822,-0.16085598451899677,-0.6065682678071139,-0.06246454436418675,0.06246454436418675,
4.68,0.05787265841559881,0.6167077462055339,-0.1669216671970679,-0.601404121292054,-0.06859088386903858,0.06859088386903858,
4.69,0.06403973587765416,0.6119614994754813,-0.17293570840998845,-0.5956200854043552,-0.07466506549408833,0.07466506549408833,
4.7,0.07015935087240897,0.6065857155147294,-0.178891909264032,-0.5892204881287394,-0.08068082835667231,0.08068082835667231,
4.71,0.07622520802755627,0.6005842731310868,-0.1847841141453194,-0.582210307421639,-0.08663195528677259,0.08663195528677259,
